# http://inspirehep.net/record/1300038 table A.2
# columns:
#   uncorrected Nch bin low
#   uncorrected Nch bin high
#   corrected <Nch>
#   fraction of cross section within bin
#   fraction of cross section above lower bin edge
# uncertainties:
#   1% cross section
#   6.0% corrected <Nch>
6 26 19.82 0.111 0.928
26 46 46.7 0.0616 0.817
46 76 79.0 0.0615 0.755
76 106 118.0 0.0446 0.694
106 150 166.0 0.0504 0.649
150 200 227.0 0.0453 0.599
200 250 292.0 0.0377 0.553
250 300 358.0 0.0326 0.516
300 350 423.0 0.0289 0.483
350 400 488.0 0.0261 0.454
400 450 552.0 0.0238 0.428
450 500 618.0 0.0221 0.404
500 600 714.0 0.0397 0.382
600 700 843.0 0.0351 0.342
700 800 973.0 0.0316 0.307
800 900 1103.0 0.0286 0.276
900 1000 1233.0 0.0262 0.247
1000 1200 1425.0 0.0466 0.221
1200 1400 1684.0 0.0402 0.174
1400 1600 1944.0 0.0352 0.134
1600 1800 2203.0 0.0307 0.0990
1800 2000 2462.0 0.0268 0.0683
# switch from min-bias to high-mult trigger
# 2000 2400 2819.0 0.0388 0.0415
# 1900 1950 2497.0 0.00656 0.0544
# 1950 2000 2562.0 0.00635 0.0478
2000 2050 2627.0 0.00617 0.0415
2050 2100 2692.0 0.00594 0.0353
2100 2150 2757.0 0.00570 0.0293
2150 2200 2822.0 0.00544 0.0236
2200 2250 2886.0 0.00502 0.0182
2250 2300 2951.0 0.00445 0.0132
2300 2350 3015.0 0.00353 0.00873
2350 2400 3079.0 0.00249 0.00520
2400 2450 3143.0 0.00151 0.00271
2450 2500 3206.0 0.00074 0.00120
2500 2550 3270.0 0.00031 0.00045
2550 2600 3334.0 0.00010 0.00014
