# Path: /HepData/7742/d15-x1-y1
# Multiplicity distribution normalized to the bin width in the pseudorapidity region -1.0 to 1.0 for NSD collisions at a centre-of-mass energy of 2360 GeV. Note that the statistical as well as the systematic uncertainties are strongly correlated between neighbouring points. See text of paper for details.
# Location: F 8
# ETARAP(P=3) : -1.0 - 1.0
# RE : P P --> CHARGED X
# sqrts : 2360.0 GeV
# x : MULT(P=3)
# y : PROBABILITY/UNIT BIN WIDTH
# xdesc x xlow xhigh y dy+ dy- dy+ dy-
0.0 -0.5 0.5 0.099136 +0.002947 -0.002947 +0.031724 -0.031724
1.0 0.5 1.5 0.055425 +0.001108 -0.001108 +0.003397 -0.003397
2.0 1.5 2.5 0.06057 +0.001211 -0.001211 +0.002796 -0.002796
3.0 2.5 3.5 0.068223 +0.001364 -0.001364 +0.002513 -0.002513
4.0 3.5 4.5 0.071724 +0.001434 -0.001434 +0.002523 -0.002523
5.0 4.5 5.5 0.068304 +0.001366 -0.001366 +0.003529 -0.003529
6.0 5.5 6.5 0.062277 +0.001246 -0.001246 +0.003953 -0.003953
7.0 6.5 7.5 0.055092 +0.001102 -0.001102 +0.004258 -0.004258
8.0 7.5 8.5 0.048624 +9.86E-4 -9.86E-4 +0.003978 -0.003978
9.0 8.5 9.5 0.043327 +9.67E-4 -9.67E-4 +0.003784 -0.003784
10.0 9.5 10.5 0.038774 +9.39E-4 -9.39E-4 +0.003273 -0.003273
11.0 10.5 11.5 0.034793 +9.03E-4 -9.03E-4 +0.002928 -0.002928
12.0 11.5 12.5 0.03133 +8.74E-4 -8.74E-4 +0.00259 -0.00259
13.0 12.5 13.5 0.028267 +8.46E-4 -8.46E-4 +0.002211 -0.002211
14.0 13.5 14.5 0.02552 +8.15E-4 -8.15E-4 +0.001801 -0.001801
15.0 14.5 15.5 0.023144 +7.85E-4 -7.85E-4 +0.001546 -0.001546
16.0 15.5 16.5 0.021051 +7.56E-4 -7.56E-4 +0.001313 -0.001313
17.0 16.5 17.5 0.019112 +7.26E-4 -7.26E-4 +0.001229 -0.001229
18.0 17.5 18.5 0.017178 +6.91E-4 -6.91E-4 +9.65E-4 -9.65E-4
19.0 18.5 19.5 0.015228 +6.55E-4 -6.55E-4 +8.56E-4 -8.56E-4
20.0 19.5 20.5 0.013304 +6.14E-4 -6.14E-4 +8.04E-4 -8.04E-4
21.0 20.5 21.5 0.011505 +5.75E-4 -5.75E-4 +6.76E-4 -6.76E-4
22.0 21.5 22.5 0.009892 +5.39E-4 -5.39E-4 +5.69E-4 -5.69E-4
23.0 22.5 23.5 0.008607 +5.11E-4 -5.11E-4 +4.55E-4 -4.55E-4
24.0 23.5 24.5 0.007606 +4.88E-4 -4.88E-4 +3.79E-4 -3.79E-4
25.0 24.5 25.5 0.006865 +4.72E-4 -4.72E-4 +3.37E-4 -3.37E-4
26.0 25.5 26.5 0.006333 +4.59E-4 -4.59E-4 +3.25E-4 -3.25E-4
27.0 26.5 27.5 0.00592 +4.47E-4 -4.47E-4 +3.17E-4 -3.17E-4
28.0 27.5 28.5 0.005504 +4.31E-4 -4.31E-4 +3.07E-4 -3.07E-4
29.0 28.5 29.5 0.005042 +4.11E-4 -4.11E-4 +2.92E-4 -2.92E-4
30.0 29.5 30.5 0.004508 +3.86E-4 -3.86E-4 +2.71E-4 -2.71E-4
31.0 30.5 31.5 0.003971 +3.61E-4 -3.61E-4 +2.48E-4 -2.48E-4
32.0 31.5 32.5 0.003446 +3.37E-4 -3.37E-4 +2.23E-4 -2.23E-4
33.0 32.5 33.5 0.002958 +3.14E-4 -3.14E-4 +1.98E-4 -1.98E-4
34.0 33.5 34.5 0.002504 +2.9E-4 -2.9E-4 +1.73E-4 -1.73E-4
35.0 34.5 35.5 0.002131 +2.71E-4 -2.71E-4 +1.52E-4 -1.52E-4
36.0 35.5 36.5 0.001827 +2.54E-4 -2.54E-4 +1.34E-4 -1.34E-4
37.0 36.5 37.5 0.001583 +2.39E-4 -2.39E-4 +1.2E-4 -1.2E-4
38.0 37.5 38.5 0.001389 +2.29E-4 -2.29E-4 +1.08E-4 -1.08E-4
39.0 38.5 39.5 0.001236 +2.22E-4 -2.22E-4 +1.01E-4 -1.01E-4
40.0 39.5 40.5 0.001125 +2.23E-4 -2.23E-4 +9.6E-5 -9.6E-5
41.5 40.5 42.5 9.39E-4 +2.05E-4 -2.05E-4 +8.2E-5 -8.2E-5
43.5 42.5 44.5 7.04E-4 +1.86E-4 -1.86E-4 +9.4E-5 -9.4E-5
45.5 44.5 46.5 5.41E-4 +1.64E-4 -1.64E-4 +8.8E-5 -8.8E-5
47.5 46.5 48.5 3.98E-4 +1.33E-4 -1.33E-4 +6.2E-5 -6.2E-5
49.5 48.5 50.5 2.4E-4 +9.1E-5 -9.1E-5 +5.1E-5 -5.1E-5
